57,47	1
36,50	4
26,72	5
65,11	3
83,14	3
64,11	3
6,55	4
11,10	4
60,6	3
70,62	2
71,85	2
36,30	4
7,96	5
58,6	3
78,51	1
93,22	1
13,42	4
3,16	4
97,35	1
97,81	2
94,32	1
68,90	2
7,98	5
90,59	1
98,24	1
90,85	2
6,16	4
11,86	5
64,78	2
71,98	2
82,81	2
13,78	5
86,32	1
16,77	5
92,12	1
91,43	1
50,71	5
96,91	2
29,51	4
12,92	5
40,80	5
38,91	5
93,48	1
43,39	4
29,79	5
67,27	3
88,39	1
40,41	4
98,91	2
46,21	3
11,86	5
39,99	5
56,94	2
96,0	3
100,37	1
55,43	3
59,37	3
96,44	1
68,9	3
81,47	1
29,44	4
75,96	2
38,8	3
48,69	5
44,22	3
71,47	1
39,54	4
93,7	3
47,53	4
9,99	5
54,53	1
24,96	5
71,39	1
10,41	4
11,40	4
5,16	4
14,13	4
56,26	3
66,3	3
89,75	2
90,62	1
57,13	3
22,34	4
65,76	2
31,5	4
2,13	4
62,84	2
8,91	5
43,22	3
85,67	2
29,18	4
41,12	3
24,39	4
43,20	3
45,91	5
58,33	3
86,8	3
44,100	5
58,95	2
53,85	2
