57,47	4
36,50	1
26,72	2
65,11	3
83,14	3
64,11	3
6,55	1
11,10	1
60,6	3
70,62	4
71,85	2
36,30	1
7,96	2
58,6	3
78,51	4
93,22	3
13,42	1
3,16	1
97,35	4
97,81	4
94,32	4
68,90	2
7,98	2
90,59	4
98,24	4
90,85	4
6,16	1
11,86	2
64,78	2
71,98	2
82,81	4
13,78	2
86,32	4
16,77	2
92,12	3
91,43	4
50,71	2
96,91	4
29,51	1
12,92	2
40,80	2
38,91	2
93,48	4
43,39	1
29,79	2
67,27	3
88,39	4
40,41	1
98,91	4
46,21	3
11,86	2
39,99	2
56,94	2
96,0	3
100,37	4
55,43	3
59,37	3
96,44	4
68,9	3
81,47	4
29,44	1
75,96	2
38,8	3
48,69	2
44,22	3
71,47	4
39,54	1
93,7	3
47,53	1
9,99	2
54,53	4
24,96	2
71,39	4
10,41	1
11,40	1
5,16	1
14,13	1
56,26	3
66,3	3
89,75	4
90,62	4
57,13	3
22,34	1
65,76	2
31,5	1
2,13	1
62,84	2
8,91	2
43,22	3
85,67	4
29,18	1
41,12	3
24,39	1
43,20	3
45,91	2
58,33	3
86,8	3
44,100	2
58,95	2
53,85	2
