57,47	1
36,50	2
26,72	2
65,11	3
83,14	3
64,11	3
6,55	2
11,10	2
60,6	3
70,62	1
71,85	1
36,30	2
7,96	2
58,6	3
78,51	3
93,22	3
13,42	2
3,16	2
97,35	3
97,81	1
94,32	3
68,90	1
7,98	2
90,59	1
98,24	3
90,85	1
6,16	2
11,86	2
64,78	1
71,98	1
82,81	1
13,78	2
86,32	3
16,77	2
92,12	3
91,43	3
50,71	1
96,91	1
29,51	2
12,92	2
40,80	1
38,91	1
93,48	3
43,39	2
29,79	1
67,27	3
88,39	3
40,41	2
98,91	1
46,21	2
11,86	2
39,99	1
56,94	1
96,0	3
100,37	3
55,43	2
59,37	3
96,44	3
68,9	3
81,47	3
29,44	2
75,96	1
38,8	2
48,69	1
44,22	2
71,47	3
39,54	2
93,7	3
47,53	2
9,99	2
54,53	1
24,96	1
71,39	3
10,41	2
11,40	2
5,16	2
14,13	2
56,26	3
66,3	3
89,75	1
90,62	1
57,13	3
22,34	2
65,76	1
31,5	2
2,13	2
62,84	1
8,91	2
43,22	2
85,67	1
29,18	2
41,12	2
24,39	2
43,20	2
45,91	1
58,33	3
86,8	3
44,100	1
58,95	1
53,85	1
