57,47	3
36,50	1
26,72	4
65,11	3
83,14	5
64,11	3
6,55	1
11,10	1
60,6	3
70,62	2
71,85	2
36,30	1
7,96	4
58,6	3
78,51	5
93,22	5
13,42	1
3,16	1
97,35	5
97,81	2
94,32	5
68,90	2
7,98	4
90,59	5
98,24	5
90,85	2
6,16	1
11,86	4
64,78	2
71,98	2
82,81	2
13,78	4
86,32	5
16,77	4
92,12	5
91,43	5
50,71	2
96,91	2
29,51	1
12,92	4
40,80	4
38,91	4
93,48	5
43,39	1
29,79	4
67,27	3
88,39	5
40,41	1
98,91	2
46,21	3
11,86	4
39,99	4
56,94	2
96,0	5
100,37	5
55,43	3
59,37	3
96,44	5
68,9	3
81,47	5
29,44	1
75,96	2
38,8	3
48,69	2
44,22	3
71,47	5
39,54	1
93,7	5
47,53	1
9,99	4
54,53	2
24,96	4
71,39	5
10,41	1
11,40	1
5,16	1
14,13	1
56,26	3
66,3	3
89,75	2
90,62	2
57,13	3
22,34	1
65,76	2
31,5	3
2,13	1
62,84	2
8,91	4
43,22	3
85,67	2
29,18	1
41,12	3
24,39	1
43,20	3
45,91	4
58,33	3
86,8	5
44,100	4
58,95	2
53,85	2
